HG001 BBDUK EXOME 19599327340
HG001 BBDUK GENOME 0
HG001 FASTP EXOME 19629768668
HG001 FASTP GENOME 76321265966
HG001 NOTRIM EXOME 19939734824
HG001 NOTRIM GENOME 76638962050
HG001 TM_ADAPT_2MM EXOME 19645467670
HG001 TM_ADAPT_2MM GENOME 0
HG002 BBDUK EXOME 18948490464
HG002 BBDUK GENOME 0
HG002 FASTP EXOME 18947292128
HG002 FASTP GENOME 79805168390
HG002 NOTRIM EXOME 19099120552
HG002 NOTRIM GENOME 80161001104
HG002 TM_ADAPT_2MM EXOME 18952388436
HG002 TM_ADAPT_2MM GENOME 0
HG003 BBDUK EXOME 16192459674
HG003 BBDUK GENOME 0
HG003 FASTP EXOME 16193328808
HG003 FASTP GENOME 80945287426
HG003 NOTRIM EXOME 16333297026
HG003 NOTRIM GENOME 81294977822
HG003 TM_ADAPT_2MM EXOME 16197746472
HG003 TM_ADAPT_2MM GENOME 0
HG004 BBDUK EXOME 18397013644
HG004 BBDUK GENOME 0
HG004 FASTP EXOME 18399632236
HG004 FASTP GENOME 77629579244
HG004 NOTRIM EXOME 18561047206
HG004 NOTRIM GENOME 77940058956
HG004 TM_ADAPT_2MM EXOME 18404663956
HG004 TM_ADAPT_2MM GENOME 0
HG005 BBDUK EXOME 15370631768
HG005 BBDUK GENOME 0
HG005 FASTP EXOME 15370556544
HG005 FASTP GENOME 130250023968
HG005 NOTRIM EXOME 15494412750
HG005 NOTRIM GENOME 130916978136
HG005 TM_ADAPT_2MM EXOME 15374627446
HG005 TM_ADAPT_2MM GENOME 0
HG006 BBDUK EXOME 11999255636
HG006 BBDUK GENOME 0
HG006 FASTP EXOME 11992848472
HG006 FASTP GENOME 84478073332
HG006 NOTRIM EXOME 12757966444
HG006 NOTRIM GENOME 84824082456
HG006 TM_ADAPT_2MM EXOME 12009785422
HG006 TM_ADAPT_2MM GENOME 0
HG007 BBDUK EXOME 11736299812
HG007 BBDUK GENOME 0
HG007 FASTP EXOME 11732706208
HG007 FASTP GENOME 86170681510
HG007 NOTRIM EXOME 12525564458
HG007 NOTRIM GENOME 86521003226
HG007 TM_ADAPT_2MM EXOME 11746385152
HG007 TM_ADAPT_2MM GENOME 0
